Ranking,Country,Regional indicator,Ladder score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,,,,,,,,,,,,,,
63,Greece,Middle East and North Africa,"59,336","7,86,686","0,7894",76.00,"0,39053","0,4532","0,16097",,,,,,,,,,,,,,
42,Guatemala,Latin America and Caribbean,"6,287","5,88,421","0,72309",69.00,"0,85171","0,2628","0,13523",,,,,,,,,,,,,,
95,Guinea,Sub-Saharan Africa,"5,233","3,88,022","0,38454",62.00,"0,60381","0,52419","0,18683",,,,,,,,,,,,,,
61,Honduras,Latin America and Caribbean,"59,684","59,547","0,64055",70.00,"0,83384","0,43745","0,14046",,,,,,,,,,,,,,
85,Hong Kong,East Asia,"53,164","8,91,705","0,73273",81.00,"0,56144","0,36619","0,69833",,,,,,,,,,,,,,
56,Hungary,Central and Eastern Europe,"6,169","84,511","0,94537",73.00,"0,67289","0,30601","0,11669",,,,,,,,,,,,,,
3,Iceland,Western Europe,"75,251","8,78,627",194808.00,0.00,"0,64455","0,31728","0,21345",,,,,,,,,,,,,,
123,India,South Asia,"4,541","5,44,809","0,40375",68.00,"0,88795","0,43393","0,21217",,,,,,,,,,,,,,
79,Indonesia,Southeast Asia,"55,683","6,36,058","0,7326",69.00,"0,90283","0,99602","0,9513",,,,,,,,,,,,,,
98,Iran,Middle East and North Africa,"49,228","6,70,486","0,70286",72.00,"0,42336","0,58641","0,21464",,,,,,,,,,,,,,
90,Iraq,Middle East and North Africa,"5,166","5,83,364","0,6161",70.00,"0,49173","0,35251","0,8315",,,,,,,,,,,,,,
17,Ireland,Western Europe,"6,838","9,94,539","0,85979",76.00,"0,87756","0,51196","0,72707",,,,,,,,,,,,,,
5,Israel,Middle East and North Africa,"73,411","8,42,288","0,93583",78.00,"0,74301","0,38224","0,33528",,,,,,,,,,,,,,
41,Italy,Western Europe,"63,235","8,40,988","0,82166",77.00,"0,5942","0,27972","0,12791",,,,,,,,,,,,,,
94,Ivory Coast,Sub-Saharan Africa,"5,801","54,612","0,35733",64.00,"0,63354","0,30062","0,28528",,,,,,,,,,,,,,
66,Jamaica,Latin America and Caribbean,"58,417","5,98,077","0,81892",72.00,"0,74933","0,22265","0,488",,,,,,,,,,,,,,
51,Japan,East Asia,"6,598","8,34,247","0,83783",79.00,"0,73149","0,5678","0,38154",,,,,,,,,,,,,,
122,Jordan,Middle East and North Africa,"41,858","5,89,711","0,60807",73.00,"0,68713","0,14801","0,32942",,,,,,,,,,,,,,
49,Kazakhstan,Commonwealth of Independent States,"61,875","7,57,991","0,9011",72.00,"0,84855","0,3719","0,208+J7323",,,,,,,,,,,,,,
111,Kenya,Sub-Saharan Africa,"44,696","4,84,339","0,55387",66.00,"0,60069","0,70235","0,11927",,,,,,,,,,,,,,
29,Kosovo,Central and Eastern Europe,"6,561","6,37,339","0,78985",73.00,"0,85638","0,63328","0,1263",,,,,,,,,,,,,,
13,Kuwait,Middle East and North Africa,"69,514","8,61,974","0,84357",75.00,"0,95743","0,49779","0,29849",,,,,,,,,,,,,,
74,Kyrgyzstan,Commonwealth of Independent States,"57,135","4,92,532","0,91364",73.00,"0,96634","0,56189","0,5191",,,,,,,,,,,,,,
